Portfolio Manager - Firm,Portfolio value,No. of stocks,Top 10 holdings (left to right),,,,,,,,,
Meridian Contrarian Fund,$573 M,68,FCNCA,THC,SGH,CACI,PRGO,VICI,CRC,AXS,BEPC,CCJ
Michael Burry - Scion Asset Management,$103 M,16,JD,BABA,HCA,C,PHYS,SQ,CI,AAP,BP,VTLE
Mohnish Pabrai - Pabrai Investments,$216 M,4,AMR,CEIX,HCC,ARCH,,,,,,
Nelson Peltz - Trian Fund Management,$8.02 B,9,DIS,JHG,GE,WEN,IVZ,FERG,ALL,GEHC,SYY,
Norbert Lou - Punch Card Management,$400 M,5,BRK.A,ALLY,WGO,SWBI,SGOV,,,,,
Pat Dorsey - Dorsey Asset Management,$860 M,10,META,GOOG,WIX,SMAR,PYPL,DHR,HRI,AZO,SEMR,UPWK
Polen Capital Management,$43.3 B,103,AMZN,MSFT,GOOG,V,NFLX,MA,CRM,NOW,TMO,ABT
Prem Watsa - Fairfax Financial Holdings,$1.23 B,42,OXY,ORLA,BB,KW,MU,GOOGL,CCAP,BEN,HP,MRK
Richard Pzena - Hancock Classic Value,$1.15 B,35,C,DOW,BAX,WFC,CVS,COF,HUM,FMS,MGA,LEA
Robert Olstein - Olstein Capital Management,$562 M,99,ABM,ST,DIS,CFG,KLIC,MHK,UPS,CVS,DGX,BAX
Robert Vinall - RV Capital GmbH,$374 M,6,META,CACC,CVNA,WIX,IBKR,PDD,,,,
Ruane Cunniff - Sequoia Fund,$3.33 B,23,RYCEF,ICE,CNSWF,SCHW,GOOGL,UNH,UMGNF,TSM,FWONK,ELV
Samantha McLemore - Patient Capital Management,$2.05 B,42,AMZN,C,EXPE,OMF,DAL,GOOGL,ET,GM,META,IAC
Seth Klarman - Baupost Group,$3.55 B,21,LBTYK,GOOG,WTW,FIS,VSAT,CRH,CLVT,LSXMK,LBTYA,JAZZ
Stephen Mandel - Lone Pine Capital,$12.7 B,26,META,TSM,MSFT,AMZN,CRM,KKR,PM,INTU,SQ,PTC
Steven Romick - FPA Crescent Fund,$6.41 B,56,GOOGL,HCMLF,ADI,META,C,CMCSA,TEL,IFF,GOOG,JEF
Terry Smith - Fundsmith,$25.6 B,40,MSFT,META,SYK,V,IDXX,ADP,PM,WAT,MAR,GOOGL
Third Avenue Management,$627 M,58,TDW,HCC,DB,VAL,CMA,LEN.B,ORI,LAZ,BN,DHI
Thomas Gayner - Markel Group,$10.1 B,132,BRK.A,BRK.B,GOOG,AMZN,BN,HD,DE,V,NVO,DIS
Thomas Russo - Gardner Russo & Quinn,$9.75 B,81,BRK.A,GOOG,MA,NSRGY,CFRHF,HKHHF,BRK.B,NFLX,PM,PDRDF
Tom Bancroft - Makaira Partners,$829 M,10,PGR,BBWI,CDW,CHTR,LAMR,KMX,DPZ,LBRDK,WHD,HEI.A
Torray Funds,$668 M,92,GOOGL,BRK.B,FI,RPRX,PSX,EOG,JPM,QCOM,HD,MMC
Triple Frond Partners,$879 M,11,CHTR,TDG,GOOG,AMZN,MSFT,V,MCO,LRCX,VRSN,CP
Tweedy Browne Co. - Tweedy Browne Value Fund,$420 M,80,BRK.A,GOOGL,NWLI,TTE,SAFRY,WFC,RHHVF,NSRGY,FDX,HKHHF
Valley Forge Capital Management,$3.67 B,8,FICO,MA,SPGI,MCO,INTU,V,AZPN,ASML,,
ValueAct Capital,$4.54 B,12,CRM,NSIT,DIS,FI,EXPE,CBRE,SPOT,KKR,NYT,RBLX
Viking Global Investors,$26.9 B,83,V,WDAY,AMZN,PM,APG,USB,LVS,FTV,BBIO,ROIV
Wallace Weitz - Weitz Large Cap Equity Fund,$880 M,30,GOOG,V,META,BRK.B,DHR,MA,TMO,AON,CHTR,GPN
Warren Buffett - Berkshire Hathaway,$331.7 B,41,AAPL,BAC,AXP,KO,CVX,OXY,KHC,MCO,CB,DVA
William Von Mueffling - Cantillon Capital Management,$15.9 B,37,AVGO,SPGI,GOOGL,AMAT,V,ADI,MSFT,EFX,ICE,A
Yacktman Asset Management,$11.1 B,73,CNQ,MSFT,GOOG,UHAL.B,SCHW,PEP,PG,NWSA,CTSH,RS
Home Help notes Contact Terms of Service Privacy,,,,,,,,,,,,
